active_edges,bits_per_token,calibration_relative_error,factor_a_nnz,factor_a_shape,factor_b_nnz,factor_b_shape,max_components,mean_active_edges,mean_components,method,min_components,module,module_kind,objective_relative_error,per_token_error_target,relative_error,sparsity_requested,total_bits
,12134.085120389365,,,,,,768,1156072.5,752.6513671875,svd_omp_shared_dictionary,719,h.0.attn.q_proj,attn.q_proj,,0.0,0.0003450127551332116,,24850606.32655742
,12096.246783354245,,,,,,768,1150457.25,748.99560546875,svd_omp_shared_dictionary,714,h.0.attn.q_proj,attn.q_proj,,0.00017601181754544495,0.00040667044231668115,,24773113.412309494
,12078.517848269043,,,,,,768,1147791.75,747.26025390625,svd_omp_shared_dictionary,714,h.0.attn.q_proj,attn.q_proj,,0.00030980159915651006,0.0004244789306540042,,24736804.553255
,12047.584971751443,,,,,,768,1143268.5,744.3154296875,svd_omp_shared_dictionary,710,h.0.attn.q_proj,attn.q_proj,,0.0004005839796968018,0.0004826783260796219,,24673454.022146955
,12020.620849699812,,,,,,768,1139406.0,741.80078125,svd_omp_shared_dictionary,710,h.0.attn.q_proj,attn.q_proj,,0.00046736859861300185,0.0005260072648525238,,24618231.500185214
,11997.349503995201,,,,,,768,1136025.0,739.599609375,svd_omp_shared_dictionary,708,h.0.attn.q_proj,attn.q_proj,,0.0005179686781044028,0.0005673316773027182,,24570571.784182172
,11969.611145955332,,,,,,768,1131993.0,736.974609375,svd_omp_shared_dictionary,708,h.0.attn.q_proj,attn.q_proj,,0.0005740470204746843,0.0006063726614229381,,24513763.62691652
,11937.131576805485,,,,,,768,1127374.5,733.9677734375,svd_omp_shared_dictionary,703,h.0.attn.q_proj,attn.q_proj,,0.0006361967347559233,0.0006515849381685257,,24447245.469297633
,11918.451214019386,,,,,,768,1124808.0,732.296875,svd_omp_shared_dictionary,703,h.0.attn.q_proj,attn.q_proj,,0.0006697510761670741,0.0006894763791933656,,24408988.0863117
,11897.54655973279,,,,,,768,1121994.75,730.46533203125,svd_omp_shared_dictionary,701,h.0.attn.q_proj,attn.q_proj,,0.000742262275665881,0.0007360376766882837,,24366175.354332753
,11880.047179167303,,,,,,768,1119666.0,728.94921875,svd_omp_shared_dictionary,699,h.0.attn.q_proj,attn.q_proj,,0.0007814107347095548,0.0007735966355539858,,24330336.622934636
,11865.283819204065,,,,,,768,1117708.5,727.6748046875,svd_omp_shared_dictionary,699,h.0.attn.q_proj,attn.q_proj,,0.0008226239650554198,0.0008120741113089025,,24300101.261729926
,11840.517978746802,,,,,,768,1114446.75,725.55126953125,svd_omp_shared_dictionary,697,h.0.attn.q_proj,attn.q_proj,,0.0008660108670442432,0.0008786522666923702,,24249380.82047345
,11828.89327520722,,,,,,768,1112939.25,724.56982421875,svd_omp_shared_dictionary,696,h.0.attn.q_proj,attn.q_proj,,0.0009116860846476744,0.0009132753475569189,,24225573.427624386
,11819.100743190018,,,,,,758,1111674.0,723.74609375,svd_omp_shared_dictionary,696,h.0.attn.q_proj,attn.q_proj,,0.0009597703083993104,0.0009436426335014403,,24205518.322053157
,11800.21712730389,,,,,,750,1109252.25,722.16943359375,svd_omp_shared_dictionary,694,h.0.attn.q_proj,attn.q_proj,,0.0010103905943029644,0.001004272373393178,,24166844.676718365
,11783.027379267565,,,,,,743,1107057.0,720.740234375,svd_omp_shared_dictionary,693,h.0.attn.q_proj,attn.q_proj,,0.0010636806995608368,0.0010604648850858212,,24131640.072739974
,11764.59728336781,,,,,,741,1104725.25,719.22216796875,svd_omp_shared_dictionary,690,h.0.attn.q_proj,attn.q_proj,,0.001119781436008674,0.0011170391226187348,,24093895.236337274
,11749.852459782602,,,,,,739,1102857.75,718.00634765625,svd_omp_shared_dictionary,689,h.0.attn.q_proj,attn.q_proj,,0.0011788410421918456,0.0011656122514978051,,24063697.83763477
,11729.468233936192,,,,,,737,1100288.25,716.33349609375,svd_omp_shared_dictionary,688,h.0.attn.q_proj,attn.q_proj,,0.0012410155750654816,0.0012358382809907198,,24021950.94310132
,11708.890628113872,,,,,,736,1097708.25,714.65380859375,svd_omp_shared_dictionary,685,h.0.attn.q_proj,attn.q_proj,,0.0013064693223536995,0.001307975617237389,,23979808.00637721
