active_edges,bits_per_token,factor_a_nnz,factor_a_shape,factor_b_nnz,factor_b_shape,max_components,mean_active_edges,mean_components,method,min_components,objective_relative_error,per_token_error_target,relative_error,sparsity_requested,total_bits
,12249.34923030189,,,,,768,2931570.0,763.4296875,svd_omp_shared_dictionary,748,,0.0,0.00033295954926870763,,25086667.22365827
,12239.35711560796,,,,,768,2927178.75,762.2861328125,svd_omp_shared_dictionary,747,,0.00017601181754544495,0.00038932825555093586,,25066203.3727651
,12235.210548367064,,,,,768,2925390.0,761.8203125,svd_omp_shared_dictionary,746,,0.00030980159915651006,0.000415569607866928,,25057711.203055747
,12227.158394801461,,,,,768,2921926.875,760.91845703125,svd_omp_shared_dictionary,746,,0.0004005839796968018,0.0004648100002668798,,25041220.392553393
,12219.90179631723,,,,,768,2918812.5,760.107421875,svd_omp_shared_dictionary,746,,0.00046736859861300185,0.0005064227734692395,,25026358.878857687
,12212.483311066742,,,,,768,2915683.125,759.29248046875,svd_omp_shared_dictionary,745,,0.0005179686781044028,0.0005537120741792023,,25011165.82106469
,12206.574641255731,,,,,768,2913213.75,758.6494140625,svd_omp_shared_dictionary,745,,0.0005740470204746843,0.0005903294659219682,,24999064.865291737
,12199.889367170428,,,,,768,2910465.0,757.93359375,svd_omp_shared_dictionary,744,,0.0006361967347559233,0.0006359269609674811,,24985373.423965037
,12194.489677278361,,,,,768,2908280.625,757.36474609375,svd_omp_shared_dictionary,744,,0.0006697510761670741,0.0006732931942678988,,24974314.859066084
,12189.233473274377,,,,,768,2906171.25,756.8154296875,svd_omp_shared_dictionary,744,,0.000742262275665881,0.0007118957000784576,,24963550.153265923
,12184.67209375019,,,,,768,2904382.5,756.349609375,svd_omp_shared_dictionary,743,,0.0007814107347095548,0.0007480402709916234,,24954208.44800039
,12180.225925562823,,,,,768,2902642.5,755.896484375,svd_omp_shared_dictionary,743,,0.0008226239650554198,0.0007841995684430003,,24945102.695552662
,12172.012029926545,,,,,768,2899475.625,755.07177734375,svd_omp_shared_dictionary,742,,0.0008660108670442432,0.0008532350184395909,,24928280.637289565
,12168.697000726776,,,,,768,2898208.125,754.74169921875,svd_omp_shared_dictionary,742,,0.0009116860846476744,0.0008820544462651014,,24921491.457488436
,12164.94708818422,,,,,768,2896788.75,754.3720703125,svd_omp_shared_dictionary,742,,0.0009597703083993104,0.0009156213491223752,,24913811.636601284
,12158.489497314971,,,,,764,2894364.375,753.74072265625,svd_omp_shared_dictionary,741,,0.0010103905943029644,0.000974660215433687,,24900586.49050106
,12152.65359381689,,,,,762,2892191.25,753.1748046875,svd_omp_shared_dictionary,740,,0.0010636806995608368,0.0010305603500455618,,24888634.560136992
,12147.271719226304,,,,,762,2890198.125,752.65576171875,svd_omp_shared_dictionary,740,,0.001119781436008674,0.0010823553893715143,,24877612.48097547
,12142.106426571218,,,,,761,2888296.875,752.16064453125,svd_omp_shared_dictionary,739,,0.0011788410421918456,0.0011330241104587913,,24867033.961617853
,12134.931224756,,,,,760,2885670.0,751.4765625,svd_omp_shared_dictionary,738,,0.0012410155750654816,0.001205097301863134,,24852339.148300286
,12128.183569164394,,,,,760,2883211.875,750.83642578125,svd_omp_shared_dictionary,738,,0.0013064693223536995,0.0012736349599435925,,24838519.94964868
,12121.964406053958,,,,,759,2880960.0,750.25,svd_omp_shared_dictionary,737,,0.0013753752366575025,0.001337709603831172,,24825783.103598505
,12116.058195771226,,,,,758,2878830.0,749.6953125,svd_omp_shared_dictionary,736,,0.0014479153924584504,0.0013998632784932852,,24813687.18493947
,12108.676669761913,,,,,758,2876182.5,749.005859375,svd_omp_shared_dictionary,736,,0.0015242814672256392,0.0014778581680729985,,24798569.8196724
,12101.761149765245,,,,,758,2873711.25,748.3623046875,svd_omp_shared_dictionary,735,,0.0016046752478972772,0.0015524195041507483,,24784406.834719222
,12093.58017097948,,,,,758,2870805.0,747.60546875,svd_omp_shared_dictionary,734,,0.0016893091640751486,0.0016412624390795827,,24767652.190165974
